N°Reportage,Date,Intitulé,Lieux,Photographe
70001,16/05/07,Cérémonie de passation depouvoir entre Jacques Chiracet Nicolas Sarkozy,Élysée,
70001,16/05/07,Cérémonie à l'Arc deTriomphe,Paris,Blevennec/Segrette
70001,16/05/07,Dépôt de gerbe à la statue duGénéral de Gaule et GeorgesClémenceau,Paris,D.Noizet
70001,16/05/07,Hommage aux martyrs auBois-Boulogne,Paris,Blevennec/Segrette
70002,16/05/07,"Rencontre avec AngelaMerkel, Chancelière de laRépublique Fédéraled'Allemagne à Berlin",Allemagne,D.Noizet
70003,17/05/07,Entretien avec FrançoisFillon,Élysée,D.Noizet
70004,17/05/07,"Entretien avec M.LEMETAYER, présidentde la FNSEA",Élysée,D.Noizet
70005,17/05/07,"Entretien avec Fillon,Woerth, Buisson, Guéant,Devedjian, Copé, Hortefeux,Guaino, Alliot-Marie,Accoyer,Yade,Borloo",Élysée,D.Noizet
70006,18/05/07,Annonce du GouvernementFILLON par Claude Guéant,Élysée,D.Noizet
70007,18/05/07,Déplacement à Airbus àToulouse,Haute-Garonne,Segrette/Lefeuvre
70008,18/05/07,Entretien avec la familled'Ingrid BETANCOURT,Élysée,L.Blevennec
70009,18/05/07,Premier Conseil desministres du gouvernementFILLON,Élysée,Noizet/Blevennec
70010,21/07/07,"Entretien avec Hans GertPOTTERING, Président duParlement Européen",Élysée,D.Noizet
70011,21/07/07,Première réunionpréparatoire au Grenelle del'Environnement,Élysée,M.Klein
70012,21/07/07,Première réunionpréparatoire au Grenelle del'Environnement,Élysée,M.Klein
70013,22/05/07,Déplacement à Dunkerqueet Zuydcoote,Nord,M.Klein
70015,23/05/07,"Déplacement à Bruxellespour un entretien avec JoséManuel BARROSO,",Allemagne,E.Lefeuvre
,,Président de la CommissionEuropéenne,,
70016,24/05/07,"Entretien avec EllenJohnson SIRLEAF,Présidente du Libéria",Élysée,L.Blevennec
70017,24/05/07,Réception à Hôtel de Villede Paris en l'honneur duPrésident de la République,Paris,D.Noizet
70018,25/05/07,"Entretien avec Jean-François ROUBAUD,Président CGPME",Élysée,M.Klein
70019,25/05/07,"Entretien avec Jean-ClaudeMAILLY, Président FO",Élysée,M.Klein
70020,25/05/07,"Entretien avec PierreMARTIN, Président del'UPA",Élysée,P.Segrette
70021,25/05/07,"Entretien avec JacquesVOISIN, Secrétaire GénéralCFTC",Élysée,P.Segrette
70022,25/05/07,"Entretien avec FrançoisCHEREQUE, SecrétaireGénéral CFDT",Élysée,P.Segrette
70023,25/05/07,"Entretien avec BernardVAN CRAEYNEST,Président de la CFE CGC",Élysée,L.Blevennec
70024,25/05/07,"Entretien Omar BONGO,Président du GABON",Élysée,L.Blevennec
70025,28/05/07,"Entretien avec RomanoPRODI, Président duconseil des ministres Italien",Élysée,L.Blevennec
70026,29/05/07,"Entretien avec BernardTHIBAULT, SecrétaireGénéral de la CGT",Élysée,L.Blevennec
70027,29/05/07,"Déplacement au Yvetot, LeHavre et Saint-Pierre leVigier sur le thème del'Agriculture",Seine-Maritime,P.Segrette
70028,30/05/07,"Entretien avec LaurencePARISOT, Présidente duMEDEF",Élysée,L.Blevennec
70029,30/05/07,"Entretien avec CheikhHamad Bin Khalifa AlThani, Émir du QATAR",Élysée,M.Klein
70030,30/05/07,Installation de VincentLAMNDA comme Premierprésident de la cour decassation,Paris,D.Noizet
70032,31/05/07,Déplacement à Madrid,Espagne,L.Blevennec
70033,04/06/200,Entretien avec José,Élysée,P.Segrette
,8,"SOCRATES, PremierMinistre du Portugal",,
70034,04/06/08,"Entretien avec JohnKUFUOR, Président duGhana et de l'UnionAfricaine",Élysée,P.Segrette
70035,05/06/07,Entretien avec la familled'Ingrid BETANCOURT,Élysée,P.Segrette
70036,05/06/07,Rencontre avec lesprincipaux représentants desONG et haut conseil de lacoopération internationale,Élysée,P.Segrette
