Cote,Numéro du reportage,Titre,Date,Photographe(s)
20100562/1,3546,"""Cérémonies du 14 Juillet""",2003-07-14,"L. Blevennec, M. Poirier"
20100562/2,3557,"""Déplacement du Président de la République en Malaisie""",2003-07-22,E. Lefeuvre
20100562/3,3558,"""Déplacement de Monsieur le Président de la République et de Madame Jacques CHIRAC en Nouvelle Calédonie (NOUMEA, LIFOU, KONE)""",2003-07-23,"E. Lefeuvre, L. Blevennec"
20100562/4,3559,"""Déplacement de Monsieur le Président de la République et de Madame Jacques CHIRAC en Polynésie Française (TAHITI, BORA-BORA)""",2003-07-25,"E. Lefeuvre, L. Blevennec"
20100562/5,3636,"""Déplacement de Monsieur le Président de la République au NIGER""",2003-10-22,"F. Perier, E. Lefeuvre"
20100562/6,3637,"""Déplacement de Monsieur le Président de la République au MALI""",2003-10-24,F. Perier
20100562/7,3649,"""Sommet franco-espagnol à Carcassonne (AUDE)""",2003-11-06,"F. Perier, A. Roine"
20100562/8,3662,"""Entretien avec Mariano RAJOY, secrétaire général du Parti Populaire Espagnol""",2003-11-14,"A. Roine, C. Campagne"
20100562/9,3665,"""Déplacement à Saint-Nazaire pour la catastrophe sur le chantier du Queen Mary 2""",2003-11-16,C. Campagne
20100562/10,3682,"""26ème Sommet franco-britannique à Londres""",2003-11-24,L. Blevennec
20100562/11,3684,"""Entretien avec M. Javier SOLANA, secrétaire général du Conseil de l'Union européenne, haut représentant pour la PESC""",2003-11-25,"F. Perier, A. Roine"
20100562/12,3690,"""Cérémonie marquant les 10 ans du Samu Social de PARIS""",2003-11-28,L. Blevennec
20100562/13,3696,"""Visite d'État de Monsieur le Président de la République et de Madame Jacques CHIRAC en TUNISIE suivi du premier Sommet des pays de la Méditerranée Occidentale (Dialogue 5+5)""",2003-12-03,"D. Noizet, A. Roine"
20100562/14,3708,"""Conseil européen à Bruxelles""",2003-12-12,D. Noizet
20100562/15,3715,"""Rencontre de Monsieur le Président de la République avec des jeunes handicapés de l'île de la Réunion""",2003-12-16,C. Campagne
20100562/16,3716,"""Allocution de Monsieur le Président de la République sur le principe de laïcité dans la République""",2003-12-17,L. Blevennec
20100562/17,3724,"""Déplacement à BORDEAUX""",2003-12-21,F. Perier
20100562/18,3726,"""Vœux à la Nation""",2003-12-31,C. Campagne
20100562/19,3727,"""Présentation des voeux au président, salut au drapeau""",2004-01-05,"D. Noizet, A. Roine"
20100562/20,3728,"""Présentation des voeux du gouvernement au président""",2004-01-05,"D. Noizet, A. Roine"
20100562/21,3729,"""Présentation des voeux du Conseil constitutionnel au Président""",2004-01-05,F. Perier
20100562/22,3730,"""Présentation des voeux des membres des bureaux du Sénat, de l'Assemblée nationale et du Conseil économique et social au président""",2004-01-05,"A. Roine, C. Campagne"
20100562/23,3731,"""Présentation des voeux des forces vives au Président""",2004-01-06,"F. Perier, D. Noizet"
20100562/24,3732,"""Présentation des voeux des autorités religieuses au président""",2005-01-06,C. Campagne
20100562/25,3733,"""Présentation des voeux de la municipalité de Paris au Président""",2004-01-06,A. Roine
20100562/26,3734,"""Présentation des voeux des corps constitués au Président""",2004-01-07,"F. Perier, A. Roine"
20100562/27,3735,"""Présentation des voeux des officiers généraux au président""",2004-01-08,C. Campagne
20100562/28,3736,"""Vœux des pays ayant des accords avec la France""",2004-01-08,A. Roine
20100562/29,3737,"""Vœux du Corps diplomatique""",2004-01-08,"A. Roine, L. Blevennec"
20100562/30,3738,"""Vœux de la presse""",2004-01-09,"C. Campagne, D. Noizet "
20100562/31,3739,"""Vœux des anciens combattants""",2004-01-09,"L. Blevennec, M. Poirier"
20100562/32,3740,"""Entretien avec Abderrahmane CHALGHAM, ministre des Affaires étrangères libyen""",2004-01-09,A. Roine
20100562/33,3741,"""Vœux aux corréziens à Tulle""",2004-01-10,"D. Noizet, A. Roine"
20100562/34,3742,"""Vœux des collaborateurs""",2004-01-12,"D. Noizet, A. Roine, L. Blevennec"
20100562/35,3743,"""Vœux de la communauté orthodoxe""",2004-01-13,A. Roine
20100562/36,3744,"""Déjeuner offert en l'honneur de l'équipe de France féminine de handball""",2004-01-13,"L. Blevennec, M. Poirier"
20100562/37,3746,"""Remise de la galette des rois à Monsieur le Président de la République""",2004-01-13,C. Campagne
20100562/38,3747,"""Entretien avec Hassan ROHANI, secrétaire du Conseil suprême de sécurité national iranien""",2004-01-14,A. Roine
20100562/39,3748,"""Réunion du Haut Conseil de la Mémoire combattante""",2004-01-16,A. Roine
20100562/40,3749,"""Entretien avec Domitien NDAYIZEYE, Président du BURUNDI""",2004-01-16,F. Poirier
20100562/41,3750,"""Entretien avec James WOLFENSOHN""",2004-01-19,D. Noizet
20100562/42,3751,"""Entretien avec M. El JAZ, ministre de l'Énergie et des mines, émissaire spécial du Président soudanais""",2004-01-19,D. Noizet
20100562/43,3752,"""Entretien avec le Prince BEN ABDUL AZIZ SAOUD d'Arabie Saoudite""",2004-01-20,D. Noizet
20100562/44,3753,"""Entretien avec Branko CRVENKOVSKI, Premier ministre de Macédoine""",2004-01-20,D. Noizet
20100562/45,3754,"""Réception offerte à l'occasion de l'installation du Conseil Consultatif de la Francophonie""",2004-01-20,D.Noizet
20100562/46,3755,"""Déjeuner avec des parlementaires""",2004-01-20,D.Noizet
20100562/47,3758,"""Entretien suivi d'un déjeuner avec ILHAM ALIYED, Président d'AZERBAIDJAN""",2004-01-23,A. Roine
20100562/48,3759,"""Entretien avec Idriss DEBY, Président du TCHAD""",2004-01-23,D.Noizet
20100562/49,3760,"""Visite d'État de HU JINTAO, Président de la République Populaire de CHINE""",2004-01-26,"C. Campagne, D. Noizet, F. Perier, L. Blevennec"
20100562/50,3761,"""Entretien suivi d'un déjeuner puis d'un discours en l'honneur de KOFI ANNAN, secrétaire général de l'ONU""",2004-01-27,A. Roine
20100562/51,3762,"""Entretien suivi d'un déjeuner avec Ricardo LAGOS ESCOBAR, président du CHILI""",2004-01-28,C. Campagne
20100562/52,3763,"""Remise de décoration à M.LAURENT, M.BRIALY, M.STASI, M.JOLAIN, M.RICH, Mme HUBERT, Mme LAGARDE, M.FASEL, M.BOIDIN, Mme COTAUD, Mme VERNAY, Mme SILLAM""",2004-01-30,"A. Roine, F. Perier, L. Blevennec"
20100562/53,3764,"""Déplacement à GENEVE""",2004-01-30,C. Campagne
20100562/54,3766,"""Entretien avec l'abbé Pierre""",2004-02-01,C. Campagne
20100562/55,3767,"""Déplacement à Marseille (lutte contre le cancer)""",2004-02-02,F. Perier
20100562/56,3768,"""Entretien suivi d'un déjeuner avec Joseph KABILA, Président du CONGO""",2004-02-03,D. Noizet
20100562/57,3769,"""Entretien avec Blaise ALDO""",2004-02-03,L.Blevennec
20100562/58,3770,"""Entretien avec JAPP DE HOPP SCHEFFER, secrétaire général de l'OTAN""",2004-02-03,F.Perier
20100562/59,3771,"""Entretien avec le colonel VOGNON, Président de la Fédération Nationale des Pompiers de France""",2004-02-05,A.Roine
20100562/60,3772,"""Entretien suivi d'un déjeuner avec Laurent GBAGBO, Président de COTE d'IVOIRE""",2004-02-05,F.Perier
20100562/61,3776,"""Rencontre franco-allemande à GANSHAGEN""",2004-02-09,A.Roine
20100562/62,3777,"""Entretien avec Sharon SCHIFFER, journaliste israélien au quotidien YEDIOTH""",2004-02-10,D.Noizet
20100562/63,3779,"""Entretien suivi d'un déjeuner en l'honneur de Thomas KLESTIL, Président d'AUTRICHE""",2004-02-11,L.Blevennec
20100562/64,3780,"""Entretien suivi d'un déjeuner en l'honneur de Paul Raymond BERENGER, Premier ministre de l’île MAURICE""",2004-02-13,D. Noizet
20100562/65,3781,"""Entretien avec Amo HOUGHTON, Président du ""Caucus"" au congrès des Etats-Unis, membre de la chambre des représentants""",2004-02-16,C.Campagne
20100562/66,3782,"""Entretien suivi d'un dîner d'État en l'honneur de Monsieur et Madame Moshe KATSAV, Président de l'État d'ISRAEL""",2004-02-16,"L. Blevennec, D. Noizet"
20100562/67,3783,"""Déplacement à BREST, visite de la Marine Nationale""",2004-02-17,E.Lefeuvre
20100562/68,3784,"""Rencontre France-Allemagne-Grande Bretagne à BERLIN""",2004-02-18,L.Blevennec
20100562/69,3785,"""Rencontre avec des Chefs d'entreprise""",2004-02-19,A.Roine
20100562/70,3786,"""Déjeuner avec Abdulaye WADE, Président de la République du Sénégal""",2004-02-19,C.Campagne
20100562/71,3788,"""Entretien avec Blaise Compaoré, Président du Burkina Faso""",2004-02-20,C.Campagne
20100562/72,3789,"""Interview de Monsieur le Président de la République par deux journalistes hongrois""",2004-02-20,D.Noizet
20100562/73,3790,"""Cérémonie de remise de décorations à M. PRETRE, M. POUJADE, M. BAILLY, M. EL KESRI, Mme AUBLET, M. PASCAL, Mme SALAMAGNE, Mme GREVISSE, Mme BRAUN-HEMMET, M. GALL, M.OBISPO, Mme BOUPIES""",2004-02-20,D.Noizet
20100562/74,3791,"""Entretien avec Son Altesse CHEIKH KHALIFA BIN SALMAN KHALIFA, Premier ministre de Royaume de BAHREIN""",2004-02-20,L.Blevennec
20100562/75,3792,"""Entretien avec son Altesse Royale le Prince SAOUD AL FAYCAL BIN ABDULAZIZ AL SAOUD, ministre des Affaires étrangères du Royaume d'Arabie Saoudite""",,L.Blevennec
20100562/76,3793,"""Visite officielle en HONGRIE""",2004-02-23,"A. Roine, C. Campagne"
20100562/77,3794,"""Déjeuner avec des parlementaires""",2004-02-25,L.Blevennec
20100562/78,3796,"""Table ronde sur l'égalité professionnelle""",2004-02-26,C.Campagne
20100562/79,3797,"""Entretien avec Mélanie BETANCOURT""",2004-02-26,C.Campagne
20100562/80,3798,"""Entretien suivi d'un déjeuner avec Jean-Claude JUNKER, Premier ministre du Grand Duché du LUXEMBOURG""",2004-02-27,A.Roine
20100562/81,3799,"""Entretien avec une délégation des obédiences maçonniques""",2004-02-27,A.Roine
20100562/82,3800,"""Salon de l'agriculture""",2004-02-28,"L. Blevennec, C. Campagne"
20100562/83,3802,"""Entretien avec les organisations multilatérales chargées de la lutte contre la faim et le développement agricole""",2004-03-01,A.Roine
20100562/84,3803,"""Entretien avec Claude BERRI, Président de la Cinémathèque Française et Serge TOUBIANA, directeur""",2004-03-01,D.Noizet
20100562/85,3804,"""Entretien avec Monseigneur RICARD, Président de la Conférence des Évêques de France""",2004-03-02,L. Blevennec
20100562/86,3805,"""Photographies de famille avec l’association de la Presse présidentielle""",2004-03-02,D.Noizet
20100562/87,3806,"""Inauguration du nouveau siège du médiateur de la République""",2004-03-02,F.Perier
20100562/88,3807,"""Entretien avec GNASSINGBE EYADEMA, Président de la République togolaise""",2004-03-02,D.Noizet
20100562/89,3808,"""Déjeuner avec des parlementaires""",2004-03-03,D.Noizet
20100562/90,3809,"""Entretien avec Sa Majesté ABDULLAH II, roi de Jordanie""",2004-03-04,D.Noizet
20100562/91,3810,"""Entretien avec le Prince héritier du QUATAR""",2004-03-05,C.Campagne
20100562/92,3811,"""Entretien avec Igor IVANOV, ministre des Affaires étrangères de Russie et Serguei IVANOV, ministre de la Défense de Russie""",2004-03-05,A.Roine
20100562/93,3812,"""Entretien suivi d'un dîner avec HOSNI MOUBARAK, Président de la République Arabe d'EGYPTE""",2004-03-05,D.Noizet
20100562/94,3813,"""Entretien avec SEIF EL ISLAM QADDAFI, Président de la Fondation QADDAFI""",2004-03-08,F.Perier
20100562/95,3814,"""Entretien avec Takashi KITAHARA, Président Directeur Général de Mitsui France""",2004-03-09,F.Perier
20100562/96,3815,"""Réunion de travail sur les Archives nationales""",2004-03-09,D.Noizet
20100562/97,3816,"""Entretien avec Mikheil SAAKASHVILLI, Président de la République de GEORGIE""",2004-03-09,F.Perier
20100562/98,3817,"""Déjeuner en l'honneur du bureau du Syndicat National de l'Edition""",2004-03-10,L.Blevennec
20100562/99,3818,"""Prestation de serment devant le Président de la République de Pierre STEINMETZ, Jacqueline DE GUILLENCHMIDT, Jean Louis PEZANT, à la suite de leur nomination au Conseil Constitutionnel""",2007-03-10,"A.Roine, F.Perier"
20100562/100,3819,"""Photographies avec Monsieur CHATOT""",2004-03-10,F.Perier
20100562/101,3820,"""Participation de Monsieur le Président de la République à la séance inaugurale du Bicentenaire du code civil à la Sorbonne""",2004-03-10,F.Perier
20100562/102,3821,"""Entretien de Monsieur le Président de la République avec AHMED QORIE Premier ministre de l'autorité Palestinienne""",2004-03-11,L.Blevennec
20100562/103,3822,"""Entretien avec VEIRA VIKE-FREIBERGA Président de la République de LETTONIE""",2004-03-12,D.Noizet
20100562/104,3823,"""Entretien de Monsieur le Président de la République avec William Jefferson CLINTON ancien président des États-Unis""",2004-03-12,F.Perier
20100562/105,3824,"""Départ de Monsieur BECHIR MANA""",2004-03-12,A.Roine
20100562/106,3827,"""Entretien de Monsieur le Président de la République avec DAI BINGGUO, Vice-ministre des Affaires étrangères et représentant spécial du Président de la République de CHINE""",2004-03-13,F. Perier
20100562/107,3828,"""Dépôt de Gerbe par Monsieur le Président de la République à l'Ambassade d'Espagne en France en hommage aux victimes des attentats du 11 mars 2004 à Madrid""",2004-03-15,F.Perier
20100562/108,3829,"""Remise de décorations MM.GENTILINI, COPPENS, PEBEREAU, CHRISTIE, DRUCKER, SUFFERT, BESSON, DUCASSE, ANDREU, MMES FLORETTE, EME, PETEK""",2004-03-15,A.Roine
20100562/109,3830,"""Entretien et déjeuner en l'honneur de Gerhard SCHRODER Chancelier de la République Fédérale d'Allemagne""",2004-03-16,A.Roine
20100562/110,3831,"""Déjeuner avec des parlementaires""",2004-03-17,C.Campagne
20100562/111,3832,"""Remise du rapport annuel du Conseil d'État par Renaud DENOIX DE SAINT-MARC""",2004-03-18,D.Noizet
20100562/112,3833,"""Salon du livre""",2004-03-18,"A. Roine, C. Campagne"
20100562/113,3834,"""Entretien avec M. RAVALOMANANA Président de la République de MADAGASCAR""",2004-03-19,A.Roine
20100562/114,3835,"""Entretien de Monsieur le Président de la République avec des sénateurs américains : Ted Stevens Parti Républicain (Alaska), John Warner Parti Démocrate (Caroline du Sud)""",2004-03-19,L.Blevennec
20100562/115,3836,"""Premier tour des élections cantonales et régionales en Corrèze et visite des bureaux de vote du canton de Corrèze en compagnie de Madame CHIRAC""",2004-03-21,A.Roine
20100562/116,3837,"""Entretien suivi d'un déjeuner de travail offert par Monsieur le Président de la République à Bertie AHERN Premier ministre d'Irlande""",2004-03-22,C.Campagne
20100562/117,3838,"""Obsèques nationales suite aux attentats du 11 mars 2004 et entretien avec le Premier ministre espagnol José Luis Rodriguez ZAPATERO""",2004-03-24,D.Noizet
20100562/118,3839,"""Conseil Européen à BRUXELLES""",2004-03-25,L.Blevennec
20100562/119,3841,"""Deuxième tour des élections régionales et cantonales en Corrèze""",2004-03-28,L.Blevennec
20100562/120,3842,"""Remise de décorations aux Invalides""",2004-03-30,"D.Noizet, A.Roine"
20100562/121,3843,"""Visite par Monsieur le Président de la République de l'exposition Montagnes Célestes au Grand Palais""",2004-03-30,C.Campagne
20100562/122,3844,"""Annonce du nouveau gouvernement par M. BAS secrétaire général de l'Élysée""",2004-03-31,C.Campagne
20100562/123,3845,"""Interview de Monsieur le Président de la République par Arlette CHABOT et Olivier POIVRE D'ARVOR""",2004-04-01,C.Campagne
20100562/124,3846,"""Gouvernement de Jean-Pierre RAFFARIN (Tour de table et photographies de famille)""",2004-04-02,"D.Noizet, A.Roine"
20100562/125,3847,"""Hommage au Président G. POMPIDOU à l'occasion du 30ème anniversaire de sa disparition, au Centre national Georges Pompidou à Paris""",2004-04-02,C.Campagne
20100562/126,3848,"""Visite de travail en RUSSIE (MOSCOU)""",2004-04-03,C.Campagne
20100562/127,3849,"""Visite d'État en France de Sa Majesté la reine Elizabeth II, reine d'Angleterre""",2004-04-05,"C. Campagne, D. Noizet, A. Roine, L. Blevennec"
20100562/128,3850,"""Caserne des Célestins, représentation du Cadre Noir de Saumur en l'honneur de la reine Elizabeth II et de Madame CHIRAC""",2004-04-06,A.Roine
20100562/129,3851,"""Visite du musée du Louvre par la reine Elizabeth II, accompagnée par Madame CHIRAC""",2004-04-06,C.Campagne
20100562/130,3852,"""Réception offerte par le Président du Sénat et le Président de l'Assemblée nationale en l'honneur de la reine Elizabeth II et du duc d'Edimbourg""",,F.Perier
20100562/131,3853,"""Entretien de Stjepan MESIC Président de la République de CROATIE""",2004-04-06,L.Blevennec
20100562/132,3854,"""Entretien de Monsieur le Président de la République et d’Abdel Halim Khaddam vice-président de SYRIE""",2004-04-06,A.Roine
20100562/133,3855,"""Dîner à la résidence de l'ambassadeur de Grande-Bretagne autour du thème de la lutte contre le cancer en présence de Mme Jacques CHIRAC""",2004-04-06,
20100562/134,3856,"""Allocution du Président de la République à l'occasion de la Journée mondiale de la Santé 2004 (Centre de Conférences Internationales à Paris)""",2004-04-07,
20100562/135,3857,"""Visite d'État en France de la reine Elizabeth II: déplacement à Toulouse en présence de Madame Jacques CHIRAC""",2004-04-07,
20100562/136,3858,"""Entretien suivi d'un déjeuner offert par Monsieur le Président de la République en l'honneur d’Anders Fogh RASMUSSEN Premier ministre du Royaume du DANEMARK""",2004-04-14,
20100562/137,3859,"""Entretien de Monsieur le Président de la République avec son Excellence Ali Saleh Président de la République du YEMEN""",2004-04-14,
20100562/138,3860,"""Déplacement de Monsieur le Président de la République en Algérie""",2004-04-15,
20100562/139,3862,"""Déjeuner avec des acteurs de cinéma""",2004-04-16,
20100562/140,3863,"""Réception offerte par Monsieur le Président de la République à l'occasion de la remise du prix "" Honneur et Patrie""""",2004-04-16,
20100562/141,3864,"""Déjeuner donné en l'honneur de Rafic HARIRI Président du Conseil des ministres libanais""",2004-04-17,
20100562/142,3865,"""Déjeuner donné en l'honneur de HOSNI MOUBARAK Président de la République Arabe d'Egypte""",2004-04-19,
20100562/143,3866,"""Entretien avec CHOUKRI Mohamed GHANEN Premier ministre libyen""",2004-04-19,
20100562/144,3867,"""Entretien avec Monsieur BLONDEL et Monsieur MAILLY représentants de Force Ouvrière""",2004-04-19,
20100562/145,3868,"""Cérémonie de remise de lettres de créance""",2004-04-20,
20100562/146,3869,"""Cérémonie de remise de lettres de créance des ambassadeurs accrédités en Andorre""",2004-04-20,
20100562/147,3870,"""Entretien de Monsieur le Président de la République avec son excellence Monsieur KAMAL KHARRAZI ministre des Affaires étrangères de la République islamique d'IRAN""",2004-04-21,
20100562/148,3871,"""Entretien de Monsieur le Président de la République avec LAKHDAR BRAHIMI envoyé spécial du secrétaire général des Nations-Unies pour l'IRAQ""",2004-04-24,
20100562/149,3872,"""Conférence des Chefs d'Etat de l'autorité du bassin du NIGER au Centre de conférences internationales suivi d'un déjeuner au palais de l'Élysée""",2004-04-26,
20100562/150,3873,"""Entretien de Monsieur le Président de la République avec Robert KOTCHARIAN Président de la République d'Arménie""",2004-04-26,
20100562/151,3874,"""Réception offerte en l'honneur des membres du corps préfectoral et des hauts fonctionnaires du ministère de l'Intérieur""",2004-04-27,
20100562/152,3875,"""Entretien suivi d'un déjeuner offert par Monsieur le Président de la République en l'honneur de JAN PETER BALKENENDE Premier ministre des Pays-Bas""",2004-04-28,
20100562/153,3876,"""Remise des insignes de commandeur de la légion d'honneur à son Altesse impériale et royale l'Archiduc OTTO de HABSBOURG""",2004-04-28,
20100562/154,3877,"""Conférence de presse de Monsieur le Président de la République""",2004-04-29,
20100562/155,3878,"""Participation de Monsieur le Président de la République et de Mme Jacques CHIRAC à la présentation de 30 chefs-d'œuvre des arts de l'islam du Métropolitan muséum of New-York à l'occasion de la création du nouveau département des arts de l'Islam au musée du Louvre.""",2004-04-29,
20100562/156,3879,"""Entretien suivi d'un dîner offert à José Luis RODRIGUEZ ZAPATERO Président du Gouvernement du royaume d'Espagne""",2004-04-29,
20100562/157,3881,"""Conseil Supérieur de la Magistrature""",2003-04-30,
20100562/158,3883,"""Cérémonie de remise du muguet""",2004-05-01,
20100562/159,3884,"""Cérémonie pour l'élargissement de l'Union Européenne à DUBLIN""",2004-05-01,
20100562/160,3885,"""Congrès fondateur de l'organisation mondiale ""CITE ET GOUVERNEMENTS LOCAUX UNIS"" au Palais des Congrès (Paris)""",2004-05-02,
20100562/161,3886,"""Déjeuner avec Jean CHAREST, Premier ministre du QUEBEC""",2004-05-03,
20100562/162,3887,"""Entretien avec Silvio BERLUSCONI, Premier ministre de la République Italienne""",2004-05-05,
20100562/163,3887,"""Cérémonie J-100 avant les Jeux Olympiques d'ATHENES""",2004-05-05,
20100562/164,3888,"""Photographies du parc de l'Élysée""",2004-05-06,
20100562/165,3889,"""Remise du rapport TRUCHET""",2004-05-06,
20100562/166,3890,"""Réception offerte par Monsieur le Président de la République en l'honneur du Bureau de la Conférence des Rabbins européens""",2004-05-06,
20100562/167,3892,"""Remise de décorations aux Invalides à l'occasion du 50ème anniversaire de DIEN BIEN PHU""",2004-05-07,
20100562/168,3893,"""Entretien suivi d'un déjeuner offert en l'honneur de Joaquim ALBERTO, Président de la République du MOZAMBIQUE""",2004-05-07,
20100562/169,3894,"""Cérémonie du 8 Mai 1945""",2004-05-08,
20100562/170,3895,"""Rencontre avec des Jeunes français et Britanniques en présence de Tony BLAIR, Premier ministre de Grande-Bretagne""",2004-05-09,
20100562/171,3896,"""Entretien avec Sa Majesté AGONG XII roi de MALAISIE""",2004-05-10,
20100562/172,3897,"""Déjeuner en l'honneur de chefs d'entreprises""",2004-05-10,
20100562/173,3898,"""Entretien avec M. PELLETIER, M. ROSSINOT, M. de MONTESQUIOU, M. LEONETTI""",2004-05-11,
20100562/174,3899,"""Déjeuner avec des parlementaires""",2004-05-12,
20100562/175,3900,"""Entretien avec M. LATORTUE, Premier ministre d'HAITI""",2004-05-13,
20100562/176,3901,"""3ème Conseil des ministres FRANCO-ALLEMAND, entretien avec m Gerhard SHROEDER, Chancelier de la République Fédérale d'Allemagne""",2004-05-13,
20100562/177,3902,"""Entretien avec M. CHIEF EMEKA ANYOUKU, Président de WWF International""",2004-05-13,
20100562/178,3903,"""Remise de décorations à M. MORIN, M. BELIARD, M. MEHDORN, M. CONTAMINE, M. AZNAVOUR, Mme GENDREAU-MASSALOUX, M. GRISCELLI, Mme FLOUZAT-OSMONT D'AMILLY, M. DAHLEB, M. AUGUST, Mme FORT, M. CHEBEL""",2004-05-14,
20100562/179,3904,"""Réunion avec le groupe de travail sur la taxation internationale en faveur du développement, présidé par Jean-Pierre LANDAU""",2004-05-14,
20100562/180,3906,"""Inauguration par Monsieur le Président de la République de l'Institut des Métiers de l'Artisanat à VILLIERS-LE-BEL (Val d'Oise)""",2004-05-17,
20100562/181,3907,"""Réception offerte par Madame Jacques CHIRAC pour remercier les personnels de service lors de la visite d'État de la reine d'Angleterre""",2004-05-17,
20100562/182,3908,"""Entretien avec Joseph S. BLATTER, Président de la F.I.F.A suivi d'une remise de décoration.""",2004-05-17,
20100562/183,3909,"""Table Ronde préparatoire au G8 sur la micro-finance""",2004-05-18,
20100562/184,3910,"""Remise des insignes d'officier de la Légion d'Honneur à Muhammad YUNUS""",2004-05-18,
20100562/185,3911,"""Table Ronde avec les syndicats, organisations non gouvernementales et collectivités locale consacrée à la préparation du sommet du G8 de Sea Island""",2004-05-18,
20100562/186,3912,"""Dîner à l'occasion du 80 e anniversaire de Charles AZNAVOUR""",2004-05-22,
20100562/187,3913,"""Remise de la Grand Croix de la Légion d'honneur au Général KELCHE par Monsieur le Président de la République""",2004-05-24,
20100562/188,3915,"""Entretien avec Juan SOMAVIA directeur général du Bureau International du Travail""",2004-05-25,
20100562/189,3916,"""Remise des insignes d'officier de la Légion d'honneur à Fujio CHO Président de TOYOTA MOTOR CORPORATION""",2004-05-25,
20100562/190,3917,"""Vue du parc depuis le balcon du bureau de Monsieur le Président de la République""",2004-05-27,
20100562/191,3918,"""Visite de Monsieur le Président de la République au GUATEMALA (Guatemala-city et Antigua)""",2004-05-27,
20100562/192,3919,"""Déplacement au Mexique, 3ème Sommet Union Européenne/Amérique Latine et Caraïbes à GUADALAJARA""",2004-05-28,
20100562/193,3920,"""Finale de la Coupe de France de Football PSG-CHATEAUROUX""",2004-05-29,
20100562/194,3922,"""Remise du rapport annuel de la Banque de France""",2004-06-01,
20100562/195,3923,"""Entretien avec BERTIE AHERN Premier ministre d'Irlande, Président du Conseil Européen suivi d'un point de presse""",2004-06-02,
20100562/196,3925,"""Interview CNN""",2004-06-04,
20100562/197,3926,"""Entretien suivi d'un diner de travail avec George W. BUSH Président des États-Unis d'Amérique et dîner offert par Mme J. CHIRAC en l'honneur de Mme George W. BUSH""",2004-06-05,
20100562/198,3927,"""Cérémonies du 60 e Anniversaire du Débarquement en Normandie""",2004-06-06,
20100562/199,3928,"""Sommet du G8 à SEA-ISLAND""",2004-06-08,
20100562/200,3929,"""Entretien de Monsieur le Président de la République avec son excellence Zeng PEYAN Vice Premier ministre de la République Populaire de CHINE""",2004-06-11,
20100562/201,3932,"""Élections européennes""",2004-06-13,
20100562/202,3933,"""Rencontre franco-allemande à AIX-LA-CHAPELLE (Allemagne)""",2004-06-14,
